theme,theme_definition
Research Skills,"Courses that develop the ability to design, conduct, and analyze research in education policy and practice."
Policy Analysis,"Courses that examine how education policy is developed, designed, implemented, and evaluated."
Communication & Influence,Courses that build capacity to translate research into action and engage stakeholders effectively.
Systems Knowledge,"Courses that deepen understanding of the structures, forces, and human dynamics that shape education systems across historical, philosophical, and sociocultural contexts."
