course_name,course_num,title,department,credit_hours,course_description,prereq,theme,subtheme
PSAA,615,Policy Analysis,Public Service and Administration,3,Provides solid working knowledge of the techniques involved in public policy analysis; gives both the theoretical framework and practical experience necessary for a public manager to analyze public policy effectively.,ECON 322 or equivalent or approval of instructor,Policy Analysis,Policy Design & Strategy
SOCI,618,Sociology of Education,Sociology,3,"The school system and the democratic way of life; relationship of education to social organization, social change and social control",SOCI 205,Systems Knowledge,Sociological / Psychological Perspectives
SOCI,608,Social Organization,Sociology,3,"Theoretical and conceptual bases of patterned human behavior; structural, processual and functional aspects of human groups from simplest informal to the most complex formal types: small groups, associations, institutions, complex organizations, bureaucracies, societies.",Graduate classification or approval of instructor,Systems Knowledge,Sociological / Psychological Perspectives
SOCI,607,Seminar in Social Organizations,Sociology,3,Relevant conceptual and empirical approaches to the study of selected aspects of social organization.,Graduate classification,Systems Knowledge,Sociological / Psychological Perspectives
SOCI,616,Political Sociology,Sociology,3,Survey of the principal social and organizational bases of politics; the institutionalization of political power; explanation of political change and movements of social protest.,Graduate classification,Research Skills,Measurement & Survey Design
SOCI,624,Qualitative Methodology,Sociology,3,"Exposure to and critical assessment of qualitative approaches to data gathering in social science; topics include naturalistic observation, field research skills, unobtrusive measures and grounded theory construction.",Graduate classification,Research Skills,Qualitative
SPED,612,Special Education Law and Policy,Special Education,3,Legal development of the discipline of special education; current requirements for providing free and appropriate education to students with disabilities; assessment and performance of research with legal information.,Graduate classification,Policy Analysis,Policy Design & Strategy
SPED,626,Meta-Analysis in Single-case Research,Special Education,3,Steps of conducting a meta-analysis of single-case research studies.,Doctoral classification,Research Skills,Quantitative
STAT,642,The Methods of Statistics II,Statistics,3,Design and analysis of experiments; scientific method; graphical displays; analysis of nonconventional designs and experiments involving categorical data.,STAT 641,Research Skills,Quantitative
STAT,636,Applied Multivariate Analysis and Statistical Learning,Statistics,3,Exploratory analysis of multivariate data using ordination and clustering techniques; supervised learning methods of predictive modeling; regression and classification; model selection and regularization; resampling methods; nonlinear and tree-based models; error rate estimation; use of R software.,"STAT 630, or STAT 610 and STAT 611; MATH 304.",Research Skills,Quantitative
STAT,638,Introduction to Applied Bayesian Methods,Statistics,3,"Uncertainty regarding parameters and how they can be explicitly described as a posterior distribution which blends information from a sampling model and prior distribution; emphasis on modeling and computations under the Bayesian paradigm; includes prior distributions, Bayes Theorem, conjugate and non-conjugate models, posterior simulation via the Gibbs sampler and MCMC, hierarchical modeling","STAT 630, or equivalent or approval of instructor.",Research Skills,Quantitative
STAT,632,Statistical Methodology II-Bayesian Modeling and Inference,Statistics,3,Decision theory; fundamentals of Bayesian inference; single and multi-parameter models; Gaussian model; linear and generalized linear models; Bayesian computations; asymptotic methods; non-iterative MC; MCMC; hierarchical models; nonlinear models; random effect models; survival analysis; spatial models.,STAT 613,Research Skills,Quantitative
STAT,605,Advanced Statistical Computations,Statistics,3,"Programming languages, statistical software and computing environments; development of programming skills using modern methodologies; data extraction and code management; interfacing lower-level languages with data analysis software; simulation; MC integration; MC-MC procedures; permutation tests; bootstrapping.",STAT 612 and STAT 648,Research Skills,Data Analytics & Computational Methods
STAT,613,Statistical Methodology I,Statistics,3,"Elements of likelihood inference; exponential family models; group transformation models; survival data; missing data; estimation and hypothesis testing; nonlinear regression models; conditional and marginal inferences; complex models-Markov chains, Markov random fields, time series, and point processes.",STAT 612,Research Skills,Quantitative
STAT,673,Time Series Analysis I,Statistics,3,"Introduction to diverse modes of analysis now available to solve for univariate time series; basic problems of parameter estimation, spectral analysis, forecasting and model identification.",STAT 611 or equivalent.,Research Skills,Quantitative
STAT,627,Nonparametric Function Estimation,Statistics,3,"Nonparametric function estimation; kernel, local polynomials, Fourier series and spline methods; automated smoothing methods including cross-validation; large sample distributional properties of estimators; recent advances in function estimation.",STAT 611,Research Skills,Quantitative
STAT,611,Theory of Statistics - Inference,Statistics,3,"Theory of estimation and hypothesis testing; point estimation, interval estimation, sufficient statistics, decision theory, most powerful tests, likelihood ratio tests, chi-square tests.",STAT 610 or equivalent,Research Skills,Quantitative
STAT,633,Advanced Bayesian Modeling and Computation,Statistics,3,"Bayesian methods in their research; methodology, and applications of Bayesian methods in bioinformatics, biostatistics, signal processing, machine learning, and related fields.","STAT 608, STAT 613, STAT 632.",Research Skills,Data Analytics & Computational Methods
STAT,607,Sampling,Statistics,3,"Planning, execution and analysis of sampling from finite populations; simple, stratified, multistage and systematic sampling; ratio estimates.",STAT 601 or STAT 652 or concurrent enrollment in STAT 641,Research Skills,Measurement & Survey Design
STAT,626,Methods in Time Series Analysis,Statistics,3,"Introduction to statistical time series analysis; autocorrelation and spectral characteristics of univariate, autoregressive, moving average models; identification, estimation and forecasting.",STAT 601 or STAT 642 or approval of instructor.,Research Skills,Quantitative
STAT,608,Regression Analysis,Statistics,3,"Multiple, curvilinear, nonlinear, robust, logistic and principal components regression analysis; regression diagnostics, transformations, analysis of covariance",STAT 601 or STAT 641,Research Skills,Quantitative
STAT,610,Theory of Statistics - Distribution Theory,Statistics,3,"Brief introduction to probability theory; distributions and expectations of random variables, transformations of random variables and order statistics; generating functions and basic limit concepts.",MATH 409 or concurrent enrollment in MATH 409,Research Skills,Quantitative
STAT,604,Topics in Statistical Computations,Statistics,3,"Efficient uses of existing statistical computer programs (SAS, R, etc.); generation of random numbers; using and creating functions and subroutines; statistical graphics; programming of simulation studies; and data management issues","MATH 221, MATH 251, or MATH 253",Research Skills,Data Analytics & Computational Methods
STAT,649,"Communication Skills in Statistical Research, Teaching and Consulting",Statistics,3,"Develop communication skills in teaching, research and statistical consulting; classroom and group exercises, teaching best practices; using simulations in the classroom, techniques to foster active learning environments; developing consulting techniques; communicating research dissemination.",Graduate classification in statistics or approval of instructor.,Communication & Influence,Stakeholder Engagement & Public Communication
STAT,639,Data Mining and Analysis,Statistics,3,"Broad overview of data mining, integrating related concepts from machine learning and statistics; exploratory data analysis, pattern mining, clustering and classification; applications to scientific and online data. Cross Listing: ECEN 758 and CSCE 676.",Graduate classification,Research Skills,Data Analytics & Computational Methods
STAT,612,Theory of Linear Models,Statistics,3,Matrix algebra for statisticians; Gauss-Markov theorem; estimability; estimation subject to linear restrictions; multivariate normal distribution; distribution of quadratic forms; inferences for linear models; theory of multiple regression and AOV; random-and mixed-effects models.,Course in linear algebra,Research Skills,Quantitative
STAT,641,The Methods of Statistics I,Statistics,3,"An application of the various disciplines in statistics to data analysis, introduction to statistical software; demonstration of interplay between probability models and statistical inference.",Concurrent enrollment in STAT 610 or approval of instructor.,Research Skills,Quantitative
STAT,648,Applied Statistics and Data Analysis,Statistics,3,Background to conduct research in the development of new methodology in applied statistics. Topics covered will include: exploratory data analysis; sampling; testing; smoothing; classification; time series; and spatial data analysis.,Approval of instructor.,Research Skills,Quantitative
TEED,602,Contemporary Perspectives on Education,Teacher Education,3,"Current issues in American public education concerning sociological, curricular, political and legal perspectives.",Admission to Post-Baccalaureate Teacher Certification Program.,Communication & Influence,Stakeholder Engagement & Public Communication
