course_name,course_num,title,department,credit_hours,course_description,prereq,theme,subtheme
EDCI,628,Analyzing and Reporting Field Based Research,Education Curriculum & Development,3,"Analyze data from classroom observation, empirical tests and interviews; link theoretical and practical mathematics education to analysis of qualitative and quantitative data; equip teacher-leaders and researchers with the resources to interpret classroom phenomena from the research perspective using research-based theories of teaching and learning.",Graduate classification,Research Skills,Quantitative
EDCI,629,Historical Analysis of Urban School Reform,Education Curriculum & Development,3,"Identifies, analyzes, and applies benchmarks in urban education using research findings.",Graduate classification,Systems Knowledge,Sociological / Psychological Perspectives
EDCI,632,Program Evaluation in Curriculum and Instruction,Education Curriculum & Development,3,"Program evaluation, investigating its purposes and procedures, with attention to settings, personnel and performance; review of standards, principal theories and models; study of histories, political contexts, ethics and the nature of evidence.",Graduate classification,Research Skills,Evaluation & Cost Analysis
EDCI,636,Educator as Researcher,Education Curriculum & Development,3,"Develops action research skills to enable them to critically analyze insights into the historical, philosophical and social foundations of reflective teaching and leadership in educational environments. Includes an analysis of theories, methodologies, implications and actions related to educational action research.",Graduate classification,Systems Knowledge,Sociological / Psychological Perspectives
EDCI,637,Urban Education-Policy and Analysis,Education Curriculum & Development,3,"Urban education policy making processes, emphasis on interaction between politics and educational policy.",Graduate classification,Policy Analysis,Policy Design & Strategy
EDCI,638,Trends in Curriculum and Instruction,Education Curriculum & Development,3,"Recent research and development in theories and practices of curriculum and instruction; curriculum innovations, school organization and new instructional media.",Graduate classification,Systems Knowledge,Sociological / Psychological Perspectives
EDCI,648,Urban Schools and Communities,Education Curriculum & Development,3,"Sociological, historical, philosophical, anthropological, and political dimensions of urban schools and community change; issues and contexts grounded in core disciplines of social sciences.",Graduate classification,Systems Knowledge,Sociological / Psychological Perspectives
EDCI,652,Parental Involvement in Early Childhood Education,Education Curriculum & Development,3,"Dynamics of the family unit, school-home communication systems, legalities of parent participation in the school, parent involvement, parent training and homebound programs; development of programs with parents.",Graduate classification,Communication & Influence,Stakeholder Engagement & Public Communication
EDCI,690,Theory of Curriculum and Instruction Research,Education Curriculum & Development,3,Theory and design of research problems and experiments in various subfields of curriculum and instruction; communication of research proposals and results; evaluation of current research of faculty and student and review of current literature.,Graduate classification,Research Skills,Evaluation & Cost Analysis
EDCI,706,Narrative Inquiry in Curriculum and Instruction I,Education Curriculum & Development,3,"Advanced qualitative research showing how narrative inquiry can study students and teachers in schools in their own terms; discusses the past and present lineage of the research methods, along with affordances and constraints.",Graduate classification,Research Skills,Qualitative
EDCI,707,Narrative Inquiry in Curriculum and Instruction II,Education Curriculum & Development,3,"Introduction to site-based observations, creation of participant observation notes, conducting semi-structured and open interviews, participation in focus group sessions and use of archival data as part of studying teachers and schools.",Graduate classification,Research Skills,Qualitative
EDCI,708,Systematic Review Methods in Education,Education Curriculum & Development,3,"Focus on systematic reviews as a research method in the education discipline, including a discussion of each step of the systematic review process from idea formation to synthesis of results; critical examination of the role of systematic reviews within the education discipline; and evaluation of systematic review quality.",Graduate classification,Research Skills,Evaluation & Cost Analysis
EDCI,710,Latinx Students and Education,Education Curriculum & Development,3,"Examination of the various demographic, social, psychological, cultural, political and historical factors, as well as how intersections of race, ethnicity, class, gender, language, generation and immigration status have shaped and continue to shape the experiences of Latinx students; analysis of methodological approaches of current research that guides common perceptions about Latinx students and the various types of education they experience.",Graduate classification,Systems Knowledge,Sociological / Psychological Perspectives
EDCI,715,Academic Writing for Graduate Students,Education Curriculum & Development,3,"Introduction to concepts central to graduate-level writing; exploration of writing productivity strategies; investigation of strategies for synthesizing research; focused study and implementation of writing process elements; development of clarity for written expression; improvement in command over textual, rhetorical and discursive conventions common in academic writing for dissemination within school-based environments.",Graduate classification,Communication & Influence,Policy Writing & Brief Development
EDCI,688,Research Methods in EDCI III,Education Curriculum & Development,3,"Framework for understanding distinctions among research methodologies used in the field of curriculum and instruction; includes classes of research questions, methods of collecting and analyzing evidence; basic principles of multivariate statistics and their application in context of various research paradigms.",EDCI 687,Research Skills,Quantitative
EDCI,687,Research Methods in EDCI II,Education Curriculum & Development,3,"Framework for understanding distinctions among research methodologies used in the field of curriculum and instruction; includes classes of research questions, methods of collecting and analyzing evidence; principles of descriptive and inferential statistics and their application in context of various research paradigms",EDCI 686,Research Skills,Quantitative
EDCI,653,Education Policy for Language-Minority Children,Education Curriculum & Development,3,"Analysis of language planning, educational policies and instructional models in the U.S. and internationally for the education of young language-minority students.",Graduate classification,Policy Analysis,Policy Design & Strategy
EHRD,656,Narrative Analysis,Educational Administration and Human Resource Development,3,"Analysis of narratives; study of the theory behind ""the narrative turn"" in qualitative research; explore and apply various approaches to analyzing narratives in terms of both structure and their content.",EHRD 655 or equivalent,Research Skills,Qualitative
EHRD,657,Life History Research,Educational Administration and Human Resource Development,3,Examines qualitative research that focuses on life experience both in its entirety (life history; biography and autobiography) and with specificity around a particular event (autoethnography); explores the nature of these types of qualitative research and discusses the methodological issues inherent in each mode.,EHRD 655 or equivalent,Research Skills,Qualitative
EHRD,655,Qualitative Research Methods,Educational Administration and Human Resource Development,3,Introduction to qualitative research methods; theoretical underpinnings; the research paradigm and applied experience with the methodology.,EHRD 651 or equivalent.,Research Skills,Qualitative
EPSY,603,Qualitative Methodologies in Educational Research,Educational Psychology,3,"Survey of qualitative research methodologies commonly used in educational research; purposes, epistemologies, data collection and analyses that distinguish different qualitative approaches to educational research; ethical and procedural challenges of collecting qualitative data in educational settings.",Master's level classification,Research Skills,Qualitative
EPSY,639,Experimental Research Design in Educational Settings,Educational Psychology,3,Design and implementation of field experiments or robust quasi-experiments in educational settings; linkages between research design and data analysis; measurement reliability and validity; ethics of research.,Graduate classification; EPSY 640 or equivalent; EPSY 636 or equivalent.,Research Skills,Measurement & Survey Design
EPSY,602,Educational Psychology,Educational Psychology,3,"Cognitive analysis of academic skills and tests; current cognitive views of learning, memory, problem solving and development of skill and expertise; effects of aptitude, motivation and task environment on academic performance. Implications for assessment and instruction.",Graduate classification,Policy Analysis,Accountability & Assessment
EPSY,605,"Effects of Culture, Diversity, and Poverty on Children and Youth",Educational Psychology,3,"Understanding of how the intersecting nature of culture, diversity, and poverty impact adjustment outcomes in children and youth; comprehension of our own belief systems; exploration of disparities in education and mental health across ethnically, culturally and socioeconomically diverse groups; strategies for alleviating educational and mental health disparities.",Graduate classification,Systems Knowledge,Sociological / Psychological Perspectives
EPSY,607,Understanding Research from a Consumer’s Perspective,Educational Psychology,3,"Introduction to skills, knowledge, and strategies for reading and interpreting research articles and reports; evaluation of the quality of such reports; becoming competent, critical readers and consumers of research in the Social Sciences.",Graduate classification,Research Skills,Evaluation & Cost Analysis
EPSY,618,Neurodevelopment and Genetic Disorders in Children,Educational Psychology,3,"Comprehensive coverage of a broad array of neurodevelopment and genetic disorders in children; emphasis on cognitive and emotional sequelae of these disorders and their relationship to medical, psychological, and educational interventions.",Graduate classification,Systems Knowledge,Sociological / Psychological Perspectives
EPSY,622,Measurement and Evaluation in Education,Educational Psychology,3,"Principles of psychological testing applied to education; uses and critical evaluation of achievement and aptitude, interest, and personality tests and performance in educational settings.",Graduate classification,Research Skills,Evaluation & Cost Analysis
EPSY,631,Program Evaluation,Educational Psychology,3,"Learning of key evaluation skills such as establishing focus with client, posing evaluation questions, data collection techniques, designing for internal validity, data aggregation; scenario practice.",Graduate classification,Research Skills,Evaluation & Cost Analysis
EPSY,632,Social and Emotional Development and Interventions,Educational Psychology,3,Theoretical foundations of social and emotional development from early childhood through adolescence; review of current state of school-based interventions and social and emotional learning programs,Graduate classification,Systems Knowledge,Sociological / Psychological Perspectives
EPSY,633,Qualitative Research Design and Data Collection,Educational Psychology,3,"Introduction to qualitative designs used to answer educational, psychological, or social research questions; historical foundations, epistemologies and essential elements of prevalent qualitative research designs; methods of collecting qualitative data including interviews, naturalistic observation, participant-observation, and stimulated recall procedures.",Graduate classification,Research Skills,Qualitative
EPSY,635,Educational Statistics,Educational Psychology,3,Introduction to the theory and application of statistical methods in behavioral science research with emphasis on classroom applications.,Graduate classification,Research Skills,Quantitative
EPSY,636,Techniques of Research,Educational Psychology,3,"Fundamental concepts and tools of research applied to psychological and educational problems; rationale of research, analysis of problems, library skills, sampling, appraisal instruments, statistical description and inference, writing the research report and representative research designs.",Graduate classification,Communication & Influence,Policy Writing & Brief Development
EPSY,653,Advanced Structural Equation Modeling,Educational Psychology,3,"Advanced topics of structural equation models; includes exploratory factor analysis under the structural equation modeling framework, testing factorial invariance, structural equation models with categorical observed variables, multilevel structural equation models, latent growth models, and growth mixture models.",EPSY 651 and EPSY 652.,Research Skills,Quantitative
EPSY,654,Longitudinal Data Analysis,Educational Psychology,3,"Review of traditional approaches to longitudinal data analysis (e.g., MANOVA); consideration of newer approaches including multilevel modeling (MLM) and latent growth modeling (LGM) and their advantages in analyzing longitudinal data.",EPSY 651 and EPSY 652.,Research Skills,Quantitative
